"id","pid","value"
"9825c501-5306-4ff6-aefb-9fac3ecf9869","56cd48fc-9a02-49a2-9ed2-480a2d47250d","奶茶咖啡"
"efa6980f-cdca-484a-a6ba-b669c36016a2","56cd48fc-9a02-49a2-9ed2-480a2d47250d","买菜"
"e56ab6ea-1be6-47ef-a72a-f09b46023293","eab039c0-2e83-49ca-ba1e-c30baa56dbe1","KTV"
"5339f0a8-bcaa-434e-87ee-98a85f73a347","56cd48fc-9a02-49a2-9ed2-480a2d47250d","早餐"
"56cd48fc-9a02-49a2-9ed2-480a2d47250d","root","吃喝"
"eab039c0-2e83-49ca-ba1e-c30baa56dbe1","root","测试专用"
"c44d2279-1ce1-4256-9792-ebe8ecdda0ae","d2156166-028e-4281-957e-c0fcc81deb58","游戏"
"6b821cae-82a8-4f59-a349-7eea8248ca8a","eab039c0-2e83-49ca-ba1e-c30baa56dbe1","待删除"
"edb700bc-f6a0-4d1c-b246-77c355ba1ffb","56cd48fc-9a02-49a2-9ed2-480a2d47250d","外卖"
"d2156166-028e-4281-957e-c0fcc81deb58","root","娱乐"
"e71a6768-ec13-4df3-b791-9665953049eb","d2156166-028e-4281-957e-c0fcc81deb58","电影"
"2b565c09-56b6-45d0-b543-98df33592e67","56cd48fc-9a02-49a2-9ed2-480a2d47250d","下馆子"
